total_budget,budget_instagram,pct_instagram,budget_google,pct_google,budget_tiktok,pct_tiktok,budget_facebook,pct_facebook,budget_youtube,pct_youtube,budget_linkedin,pct_linkedin,aov,creative_quality,campaign_days,target_margin,age,gender,income_level,conversions,revenue,instagram_impr,instagram_clicks,instagram_conv,instagram_rev,google_impr,google_clicks,google_conv,google_rev,tiktok_impr,tiktok_clicks,tiktok_conv,tiktok_rev,facebook_impr,facebook_clicks,facebook_conv,facebook_rev,youtube_impr,youtube_clicks,youtube_conv,youtube_rev,linkedin_impr,linkedin_clicks,linkedin_conv,linkedin_rev
52.51,1.6,0.0305,16.46,0.3135,1.73,0.0329,5.38,0.1025,6.11,0.1164,21.23,0.4043,20.54,0.802,19,0.091,31,woman,low,20.489,420.84,935.73,18.04,0.643,13.21,7199.41,252.49,15.814,324.83,1154.26,27.79,0.814,16.72,2539.29,48.77,1.525,31.32,2273.91,32.04,0.729,14.97,6247.79,75.35,0.963,19.79
39.99,4.85,0.1213,11.07,0.2768,9.38,0.2346,9.24,0.2311,4.0,0.1,1.45,0.0363,0.67,0.65,26,0.542,64,man,high,21.51,14.41,2455.7,48.31,1.826,1.22,4490.33,156.13,10.208,6.84,5929.58,155.8,5.974,4.0,4605.95,97.8,2.983,2.0,1469.78,25.58,0.446,0.3,496.37,5.72,0.074,0.05
2.51,0.07,0.0279,0.28,0.1116,1.41,0.5618,0.33,0.1315,0.4,0.1594,0.02,0.008,22.34,0.657,26,0.319,52,woman,low,1.091,24.37,44.43,0.82,0.033,0.73,117.92,3.39,0.196,4.37,971.94,21.32,0.732,16.34,165.16,2.67,0.079,1.76,171.33,2.47,0.051,1.13,6.23,0.06,0.001,0.02
146.14,48.29,0.3304,22.45,0.1536,36.14,0.2473,24.23,0.1658,1.74,0.0119,13.3,0.091,15.71,0.485,5,0.278,38,man,high,72.276,1135.45,26956.57,622.99,26.643,418.56,9617.44,297.61,19.278,302.86,23066.12,512.54,18.159,285.28,12087.2,220.9,7.339,115.29,714.55,12.29,0.201,3.16,4438.96,48.89,0.656,10.31
58.14,3.29,0.0566,5.62,0.0967,11.98,0.2061,12.8,0.2202,23.17,0.3985,1.28,0.022,15.51,0.881,26,0.206,27,woman,all,23.717,367.86,2073.22,41.77,1.551,24.05,2310.95,75.84,4.371,67.8,8274.62,253.2,10.371,160.85,6305.11,139.75,4.212,65.33,9106.27,165.58,3.136,48.64,411.8,4.15,0.077,1.19
14.57,3.43,0.2354,0.31,0.0213,1.15,0.0789,2.52,0.173,3.05,0.2093,4.12,0.2828,12.21,0.781,27,0.131,44,woman,low,3.949,48.22,1839.34,33.98,1.548,18.91,132.55,3.87,0.218,2.66,883.05,24.38,0.935,11.42,1197.49,22.87,0.685,8.37,1189.13,17.2,0.369,4.51,1242.24,12.16,0.193,2.36
2.02,0.75,0.3713,0.12,0.0594,0.09,0.0446,0.52,0.2574,0.08,0.0396,0.46,0.2277,21.45,0.707,12,0.56,50,woman,high,0.761,16.33,414.46,9.03,0.381,8.17,49.9,1.84,0.103,2.21,58.02,1.7,0.069,1.49,283.56,6.18,0.176,3.77,28.64,0.52,0.01,0.21,140.81,1.59,0.023,0.48
39.38,6.82,0.1732,16.43,0.4172,9.83,0.2496,2.53,0.0642,3.09,0.0785,0.69,0.0175,10.96,0.452,10,0.095,38,woman,high,20.864,228.67,3943.34,68.5,2.861,31.35,6694.65,211.41,11.777,129.08,6552.46,152.58,5.219,57.2,1207.46,23.09,0.648,7.1,1152.25,16.82,0.325,3.57,234.84,2.35,0.034,0.37
13.56,3.7,0.2729,2.83,0.2087,2.51,0.1851,0.75,0.0553,0.26,0.0192,3.51,0.2588,23.88,0.939,16,0.348,63,woman,high,6.488,154.93,1934.24,50.83,1.868,44.61,1192.68,39.79,2.402,57.36,1916.91,46.83,1.732,41.37,395.92,7.92,0.221,5.27,104.22,1.73,0.032,0.77,1154.3,14.94,0.233,5.56
21.72,0.6,0.0276,8.52,0.3923,9.01,0.4148,0.28,0.0129,0.28,0.0129,3.03,0.1395,11.91,0.906,24,0.446,28,woman,low,12.235,145.72,352.73,6.96,0.229,2.73,3561.72,109.85,6.257,74.53,5997.87,158.74,5.48,65.26,135.39,2.45,0.084,0.99,108.23,1.77,0.035,0.42,968.82,10.3,0.151,1.79
6.93,2.73,0.3939,0.26,0.0375,1.45,0.2092,0.71,0.1025,0.53,0.0765,1.25,0.1804,7.45,0.848,13,0.528,24,man,low,2.498,18.61,1465.06,29.71,0.984,7.33,112.73,3.2,0.189,1.41,969.58,30.26,0.982,7.32,344.01,6.42,0.215,1.6,197.35,2.94,0.059,0.44,390.88,4.06,0.069,0.52
2.51,0.2,0.0797,0.77,0.3068,0.32,0.1275,0.04,0.0159,0.31,0.1235,0.87,0.3466,6.37,0.735,22,0.099,19,man,all,1.115,7.1,101.98,2.22,0.085,0.54,318.29,12.43,0.696,4.43,224.18,7.0,0.244,1.55,22.05,0.41,0.01,0.07,120.5,1.97,0.037,0.24,269.73,2.62,0.043,0.27
6.86,1.82,0.2653,0.89,0.1297,0.53,0.0773,0.67,0.0977,0.81,0.1181,2.14,0.312,20.41,0.533,3,0.45,68,man,high,2.299,46.92,1047.72,19.29,0.757,15.45,395.08,13.2,0.864,17.63,386.64,8.2,0.299,6.1,315.56,5.66,0.163,3.33,320.37,5.25,0.112,2.29,666.5,7.74,0.104,2.13
4.45,1.36,0.3056,0.7,0.1573,0.51,0.1146,0.09,0.0202,1.65,0.3708,0.15,0.0337,13.49,0.578,19,0.173,56,woman,all,1.523,20.54,724.75,12.75,0.532,7.17,299.73,8.03,0.487,6.57,341.71,8.55,0.297,4.0,44.83,0.99,0.027,0.36,591.53,9.33,0.174,2.34,48.02,0.46,0.007,0.09
91.81,1.33,0.0145,13.85,0.1509,45.07,0.4909,7.56,0.0823,6.57,0.0716,17.42,0.1897,11.05,0.68,6,0.454,49,man,all,48.834,539.62,793.04,15.4,0.659,7.29,5141.44,160.85,9.593,106.0,30756.11,829.87,34.938,386.06,3777.73,64.7,1.911,21.12,2286.57,38.64,0.747,8.26,5416.5,56.63,0.986,10.9
6.17,1.04,0.1686,1.09,0.1767,3.16,0.5122,0.36,0.0583,0.15,0.0243,0.37,0.06,7.86,0.732,2,0.164,67,man,all,3.285,25.82,620.08,13.57,0.546,4.29,441.53,14.5,0.729,5.73,1981.07,48.53,1.885,14.82,171.4,3.01,0.085,0.67,59.03,0.92,0.016,0.12,124.06,1.48,0.024,0.19
15.24,1.68,0.1102,1.43,0.0938,4.52,0.2966,0.91,0.0597,4.21,0.2762,2.48,0.1627,14.64,0.801,19,0.59,44,woman,high,6.342,92.85,860.92,20.12,0.879,12.86,578.17,20.46,1.263,18.48,3005.72,88.29,3.317,48.57,416.02,7.78,0.218,3.2,1566.05,27.98,0.49,7.17,882.15,10.46,0.176,2.57
50.29,16.72,0.3325,20.35,0.4047,2.31,0.0459,3.23,0.0642,4.54,0.0903,3.13,0.0622,2.58,0.806,21,0.166,80,woman,low,24.91,64.27,8479.99,165.6,6.152,15.87,9046.05,246.01,15.4,39.73,1791.67,49.22,1.71,4.41,1619.45,29.56,0.92,2.37,1762.49,27.42,0.595,1.53,978.83,9.46,0.134,0.35
2.88,0.17,0.059,0.35,0.1215,0.03,0.0104,0.12,0.0417,0.39,0.1354,1.81,0.6285,4.7,0.806,22,0.514,54,man,all,0.538,2.53,94.0,2.04,0.079,0.37,126.34,4.47,0.257,1.21,20.11,0.46,0.015,0.07,56.41,1.13,0.035,0.17,138.69,2.47,0.047,0.22,559.7,6.12,0.105,0.5
66.03,14.16,0.2144,7.9,0.1196,0.38,0.0058,21.44,0.3247,6.67,0.101,15.48,0.2344,7.62,0.832,3,0.536,41,man,low,20.776,158.32,7909.73,166.23,5.706,43.48,3166.46,109.44,6.628,50.51,254.85,6.24,0.225,1.71,9550.11,210.73,6.482,49.4,2680.44,44.73,0.806,6.14,5133.99,53.2,0.928,7.07
3.66,0.39,0.1066,1.09,0.2978,0.22,0.0601,0.66,0.1803,0.34,0.0929,0.96,0.2623,23.27,0.772,7,0.228,61,man,high,1.556,36.2,210.1,4.37,0.182,4.23,464.98,15.37,0.915,21.28,159.59,4.16,0.145,3.38,322.53,6.85,0.215,5.0,119.53,1.82,0.039,0.91,312.86,3.88,0.06,1.39
91.98,26.08,0.2835,19.02,0.2068,5.54,0.0602,16.58,0.1803,11.66,0.1268,13.09,0.1423,11.03,0.724,28,0.544,26,woman,high,40.955,451.74,16137.62,373.2,15.062,166.14,7434.04,258.51,15.35,169.31,3429.07,106.58,3.832,42.26,7879.85,156.46,4.7,51.84,5057.47,77.18,1.477,16.29,4068.76,37.2,0.535,5.9
2.12,0.56,0.2642,0.15,0.0708,0.08,0.0377,0.24,0.1132,0.24,0.1132,0.86,0.4057,18.56,0.713,21,0.441,66,man,low,0.591,10.96,304.35,6.49,0.298,5.53,62.12,1.76,0.104,1.93,60.2,1.5,0.051,0.94,134.71,2.14,0.067,1.24,80.62,1.25,0.025,0.46,304.18,3.18,0.047,0.87
2.1,0.69,0.3286,0.65,0.3095,0.14,0.0667,0.06,0.0286,0.21,0.1,0.36,0.1714,2.05,0.873,27,0.469,54,woman,high,1.099,2.25,389.79,9.63,0.365,0.75,274.92,9.0,0.564,1.16,92.37,2.96,0.105,0.21,29.74,0.63,0.016,0.03,76.22,1.49,0.03,0.06,113.56,1.3,0.019,0.04
3.76,0.84,0.2234,0.4,0.1064,1.33,0.3537,0.04,0.0106,0.58,0.1543,0.57,0.1516,12.23,0.595,12,0.483,14,all,all,1.756,21.47,457.89,9.05,0.345,4.21,186.49,6.05,0.37,4.53,979.96,29.61,0.907,11.09,19.2,0.29,0.008,0.1,246.26,3.98,0.095,1.16,195.21,1.77,0.032,0.39
4.82,0.15,0.0311,2.02,0.4191,0.32,0.0664,0.58,0.1203,1.26,0.2614,0.49,0.1017,22.38,0.698,21,0.201,54,woman,low,2.043,45.73,76.46,1.48,0.062,1.38,830.15,25.29,1.498,33.52,201.71,4.12,0.144,3.23,284.97,5.23,0.174,3.89,539.94,7.72,0.143,3.2,145.92,1.46,0.022,0.5
17.76,2.1,0.1182,2.99,0.1684,5.57,0.3136,1.61,0.0907,4.93,0.2776,0.55,0.031,4.25,0.908,26,0.082,26,man,high,8.636,36.7,1201.17,29.97,1.218,5.18,1180.05,38.54,2.328,9.89,3943.08,114.79,4.006,17.02,660.57,12.76,0.368,1.57,1855.2,32.73,0.69,2.93,182.89,1.78,0.026,0.11
14.6,2.7,0.1849,0.62,0.0425,3.05,0.2089,1.37,0.0938,0.2,0.0137,6.66,0.4562,19.7,0.881,16,0.42,55,man,all,4.396,86.6,1468.91,31.88,1.431,28.19,267.41,8.5,0.538,10.59,2014.66,55.66,1.691,33.32,696.21,13.86,0.397,7.83,73.21,1.21,0.023,0.45,2102.54,22.94,0.316,6.22
7.71,2.02,0.262,1.01,0.131,0.31,0.0402,3.22,0.4176,0.6,0.0778,0.56,0.0726,19.99,0.874,2,0.537,60,woman,high,3.74,74.77,1155.74,29.93,1.155,23.08,441.05,14.86,1.02,20.4,250.18,7.88,0.293,5.85,1925.26,41.59,1.157,23.12,225.31,4.19,0.078,1.57,182.0,2.44,0.037,0.75
8.95,0.55,0.0615,1.76,0.1966,1.25,0.1397,0.51,0.057,2.9,0.324,1.97,0.2201,7.52,0.615,6,0.278,66,man,low,2.932,22.05,305.03,5.69,0.245,1.84,759.5,22.62,1.412,10.62,927.16,22.04,0.713,5.36,242.55,3.46,0.114,0.86,1128.62,17.24,0.351,2.64,649.27,6.31,0.096,0.72
47.98,9.64,0.2009,9.95,0.2074,7.47,0.1557,11.31,0.2357,8.35,0.174,1.27,0.0265,2.04,0.401,16,0.052,70,man,low,16.629,33.92,4806.06,80.44,3.566,7.27,3814.16,85.35,5.652,11.53,5079.21,102.75,3.547,7.24,5737.04,88.9,2.832,5.78,3265.67,49.34,0.982,2.0,409.06,3.5,0.05,0.1
4.52,0.4,0.0885,1.4,0.3097,0.76,0.1681,0.72,0.1593,0.3,0.0664,0.94,0.208,9.86,0.902,14,0.186,64,man,high,2.472,24.37,245.43,5.39,0.207,2.04,604.93,20.26,1.336,13.18,534.08,15.23,0.613,6.04,322.42,6.77,0.22,2.17,109.23,1.98,0.04,0.39,313.05,3.82,0.057,0.56
2.64,0.18,0.0682,0.21,0.0795,0.29,0.1098,1.57,0.5947,0.05,0.0189,0.34,0.1288,2.81,0.732,15,0.42,17,all,low,0.891,2.5,102.35,2.11,0.086,0.24,84.86,2.34,0.148,0.42,214.61,6.4,0.21,0.59,753.14,14.57,0.428,1.2,18.49,0.31,0.006,0.02,106.27,0.88,0.012,0.03
2.59,0.39,0.1506,0.41,0.1583,0.61,0.2355,0.06,0.0232,1.01,0.39,0.11,0.0425,22.31,0.754,3,0.112,41,man,low,0.98,21.87,217.16,4.57,0.159,3.55,166.62,4.94,0.3,6.7,419.13,10.37,0.381,8.5,30.32,0.58,0.019,0.43,416.27,6.09,0.115,2.56,37.58,0.38,0.006,0.14
77.65,15.25,0.1964,8.05,0.1037,39.81,0.5127,0.83,0.0107,0.98,0.0126,12.74,0.1641,18.92,0.622,4,0.348,31,woman,low,34.776,657.97,9023.13,199.04,7.932,150.08,3497.11,108.51,5.442,102.97,26924.12,606.87,20.387,385.72,376.01,6.92,0.189,3.57,368.59,5.63,0.11,2.08,4315.72,45.17,0.715,13.54
67.12,1.33,0.0198,11.51,0.1715,5.22,0.0778,15.76,0.2348,28.9,0.4306,4.4,0.0656,12.84,0.831,24,0.325,80,woman,low,19.84,254.74,688.73,14.29,0.582,7.47,4785.66,149.07,8.669,111.31,3633.33,79.85,2.748,35.29,7751.71,146.85,4.246,54.52,10159.24,162.08,3.352,43.04,1449.71,15.6,0.243,3.12
32.73,11.74,0.3587,2.67,0.0816,9.46,0.289,4.28,0.1308,2.88,0.088,1.71,0.0522,3.98,0.555,19,0.404,73,man,high,13.697,54.52,6755.67,117.22,4.334,17.25,1188.62,35.85,2.378,9.47,6253.72,165.42,5.161,20.54,2019.53,44.11,1.334,5.31,1045.11,18.33,0.387,1.54,616.48,7.11,0.103,0.41
12.61,2.07,0.1642,1.78,0.1412,2.28,0.1808,2.46,0.1951,0.95,0.0753,3.08,0.2443,8.84,0.83,21,0.097,22,man,high,5.239,46.31,1200.84,26.72,1.009,8.92,713.28,23.38,1.466,12.96,1555.04,43.01,1.643,14.52,1235.62,24.34,0.806,7.13,359.25,7.36,0.157,1.39,916.45,9.58,0.159,1.4
2.42,0.14,0.0579,1.14,0.4711,0.73,0.3017,0.18,0.0744,0.03,0.0124,0.2,0.0826,12.35,0.822,3,0.184,19,man,high,1.716,21.19,76.32,1.96,0.075,0.93,467.98,15.83,1.083,13.37,476.66,13.39,0.496,6.12,88.31,1.87,0.049,0.61,12.11,0.23,0.004,0.05,64.83,0.69,0.009,0.11
181.76,22.32,0.1228,9.75,0.0536,4.04,0.0222,70.39,0.3873,41.2,0.2267,34.05,0.1873,1.42,0.836,12,0.126,38,man,low,48.077,68.27,11482.07,243.03,9.772,13.88,3690.39,115.8,6.485,9.21,2811.41,66.8,2.183,3.1,33661.71,706.78,23.013,32.68,15754.05,256.8,4.925,6.99,10225.53,114.18,1.699,2.41
8.73,0.55,0.063,0.47,0.0538,5.48,0.6277,0.38,0.0435,1.09,0.1249,0.76,0.0871,19.64,0.731,16,0.373,15,woman,low,4.63,90.94,280.07,5.18,0.181,3.56,208.15,7.13,0.415,8.15,3959.25,102.71,3.811,74.85,178.36,2.85,0.08,1.56,404.99,5.8,0.109,2.15,254.77,2.47,0.034,0.66
2.85,0.24,0.0842,0.17,0.0596,0.32,0.1123,0.42,0.1474,0.86,0.3018,0.84,0.2947,13.49,0.927,21,0.086,57,woman,all,0.653,8.81,125.22,2.6,0.099,1.34,69.78,2.43,0.132,1.78,225.37,4.41,0.161,2.17,209.66,4.34,0.126,1.7,325.35,5.14,0.084,1.14,288.47,3.76,0.051,0.69
31.43,1.67,0.0531,5.26,0.1674,10.96,0.3487,8.82,0.2806,1.09,0.0347,3.63,0.1155,15.82,0.872,7,0.223,45,man,all,15.856,250.84,862.11,17.79,0.661,10.46,2162.12,73.57,4.348,68.79,7438.58,198.83,7.904,125.05,4097.75,94.0,2.629,41.59,395.46,6.68,0.138,2.19,1190.12,12.66,0.174,2.76
1.33,0.72,0.5414,0.05,0.0376,0.04,0.0301,0.14,0.1053,0.3,0.2256,0.08,0.0602,11.51,0.382,19,0.369,14,man,low,0.372,4.28,385.91,6.75,0.244,2.81,19.54,0.55,0.03,0.35,27.93,0.66,0.026,0.29,69.03,1.17,0.034,0.4,117.91,1.77,0.034,0.39,24.33,0.24,0.004,0.04
162.91,29.71,0.1824,2.18,0.0134,15.94,0.0978,46.14,0.2832,14.71,0.0903,54.22,0.3328,16.46,0.758,3,0.068,40,man,all,44.893,738.95,15873.27,366.92,14.812,243.81,846.08,23.12,1.254,20.64,11030.38,308.53,10.52,173.16,22927.85,457.25,13.468,221.68,5118.66,84.85,2.031,33.43,17152.26,185.91,2.808,46.23
166.62,35.23,0.2114,22.13,0.1328,62.08,0.3726,16.27,0.0976,11.65,0.0699,19.25,0.1155,15.41,0.462,19,0.331,40,woman,high,75.26,1159.76,18221.79,353.26,13.381,206.2,9713.81,271.27,18.014,277.59,39779.57,1069.36,36.451,561.71,8771.84,177.52,4.923,75.86,4610.03,74.18,1.577,24.3,5905.99,68.78,0.914,14.08
4.39,0.31,0.0706,0.96,0.2187,1.48,0.3371,0.37,0.0843,0.44,0.1002,0.83,0.1891,5.13,0.727,5,0.546,59,man,high,1.934,9.92,191.03,3.99,0.162,0.83,380.3,12.56,0.751,3.85,949.94,25.65,0.793,4.07,179.79,3.63,0.111,0.57,163.74,2.81,0.058,0.3,285.68,3.93,0.059,0.3
5.38,1.95,0.3625,0.71,0.132,0.41,0.0762,0.75,0.1394,0.41,0.0762,1.15,0.2138,20.58,0.586,10,0.176,34,man,low,1.775,36.53,1095.88,18.61,0.819,16.86,288.81,7.56,0.469,9.66,257.31,6.04,0.211,4.35,334.69,5.45,0.186,3.83,146.15,2.03,0.038,0.79,379.05,3.3,0.05,1.04
4.62,1.03,0.2229,0.53,0.1147,0.07,0.0152,0.2,0.0433,0.86,0.1861,1.94,0.4199,10.77,0.558,8,0.592,56,all,low,1.121,12.07,566.96,11.51,0.44,4.74,211.28,6.21,0.358,3.86,45.77,0.95,0.032,0.35,97.6,1.91,0.057,0.61,326.75,5.3,0.107,1.15,649.92,7.84,0.126,1.36
121.16,26.28,0.2169,7.07,0.0584,23.07,0.1904,30.76,0.2539,9.93,0.082,24.05,0.1985,8.13,0.967,15,0.14,68,woman,low,46.3,376.42,15492.54,360.99,14.473,117.67,2893.86,89.47,5.381,43.75,16667.87,443.6,14.819,120.48,15813.28,305.17,9.054,73.61,3916.54,57.88,1.182,9.61,7209.23,89.55,1.392,11.31
3.05,0.13,0.0426,0.67,0.2197,0.11,0.0361,0.72,0.2361,0.67,0.2197,0.76,0.2492,10.71,0.804,6,0.583,58,man,high,1.172,12.56,73.48,1.58,0.05,0.53,299.87,10.89,0.653,7.0,76.16,2.05,0.073,0.78,354.0,7.59,0.256,2.75,247.22,4.6,0.097,1.04,226.83,3.02,0.043,0.46
59.46,1.64,0.0276,11.59,0.1949,14.45,0.243,20.76,0.3491,9.74,0.1638,1.27,0.0214,23.74,0.788,28,0.594,26,woman,low,24.701,586.4,958.11,20.04,0.823,19.53,4227.77,131.64,7.698,182.74,10884.3,282.23,10.429,247.58,9311.5,171.65,4.522,107.35,3645.35,59.48,1.172,27.82,448.6,4.05,0.058,1.39
235.74,32.62,0.1384,15.49,0.0657,71.84,0.3047,3.79,0.0161,30.63,0.1299,81.37,0.3452,6.1,0.578,24,0.418,16,all,high,85.304,520.35,18454.4,458.51,19.515,119.04,6615.7,203.16,12.939,78.93,43531.48,1207.92,44.329,270.41,1732.65,32.96,0.992,6.05,12028.75,195.64,3.731,22.76,27209.5,252.03,3.798,23.16
23.48,4.18,0.178,1.91,0.0813,0.47,0.02,2.93,0.1248,0.36,0.0153,13.64,0.5809,12.01,0.958,19,0.16,51,man,all,5.89,70.74,2395.83,52.47,2.266,27.21,782.24,28.91,1.601,19.23,334.04,9.36,0.311,3.73,1395.9,29.17,0.971,11.66,126.64,2.35,0.044,0.53,4018.98,45.08,0.698,8.39
8.68,0.39,0.0449,1.03,0.1187,4.75,0.5472,0.58,0.0668,1.35,0.1555,0.57,0.0657,16.53,0.755,11,0.361,45,woman,high,5.229,86.43,211.76,4.4,0.179,2.96,431.56,14.41,0.903,14.93,3395.77,96.68,3.808,62.95,277.46,5.28,0.151,2.49,517.02,8.5,0.156,2.59,180.29,2.08,0.032,0.52
65.73,16.78,0.2553,9.55,0.1453,10.91,0.166,10.68,0.1625,3.35,0.051,14.46,0.22,7.84,0.736,7,0.247,19,man,low,25.033,196.26,9256.4,217.16,8.385,65.74,3676.19,119.42,6.907,54.15,7245.8,186.45,6.405,50.22,4991.82,78.36,2.24,17.56,1230.08,19.71,0.4,3.13,4810.7,47.73,0.697,5.46
142.63,30.07,0.2108,38.92,0.2729,10.03,0.0703,22.58,0.1583,32.24,0.226,8.8,0.0617,7.87,0.893,30,0.174,14,woman,all,68.871,542.01,17199.57,386.29,13.884,109.26,16318.66,546.39,37.255,293.2,6538.89,184.89,6.347,49.95,11290.0,207.94,7.036,55.37,12101.65,211.94,3.954,31.12,2579.74,24.43,0.394,3.1
5.17,1.67,0.323,0.29,0.0561,0.62,0.1199,0.21,0.0406,1.23,0.2379,1.15,0.2224,6.28,0.742,1,0.509,20,man,low,1.685,10.58,915.47,21.97,0.856,5.38,124.39,3.85,0.235,1.47,415.63,11.88,0.353,2.22,90.16,1.69,0.053,0.33,463.61,6.73,0.139,0.87,380.19,3.65,0.049,0.31
1.55,0.54,0.3484,0.33,0.2129,0.2,0.129,0.22,0.1419,0.22,0.1419,0.04,0.0258,2.79,0.984,24,0.442,60,man,high,0.788,2.2,295.29,6.18,0.249,0.69,134.52,4.69,0.279,0.78,150.57,4.34,0.152,0.43,106.51,2.3,0.07,0.19,82.1,1.72,0.036,0.1,14.03,0.16,0.003,0.01
169.07,44.93,0.2657,29.19,0.1727,30.61,0.181,14.28,0.0845,38.52,0.2278,11.53,0.0682,17.17,0.802,21,0.363,39,man,all,77.474,1330.22,24040.88,489.55,18.301,314.22,14043.78,437.93,26.457,454.27,20862.87,586.17,22.829,391.97,7098.47,144.83,4.494,77.16,14283.6,221.38,4.686,80.45,3723.44,45.21,0.707,12.14
115.99,42.44,0.3659,18.98,0.1636,0.23,0.002,3.01,0.026,44.84,0.3866,6.48,0.0559,23.99,0.817,2,0.118,56,man,all,43.524,1044.15,21608.96,442.82,18.205,436.73,7609.65,290.47,18.014,432.15,154.77,3.72,0.117,2.81,1359.16,27.41,0.852,20.43,15893.38,283.09,5.989,143.67,1992.56,22.83,0.348,8.35
69.51,10.62,0.1528,3.79,0.0545,3.53,0.0508,13.8,0.1985,23.71,0.3411,14.06,0.2023,7.08,0.752,16,0.473,22,woman,low,17.468,123.67,6006.45,121.02,4.586,32.47,1541.21,40.74,2.775,19.65,2278.15,62.7,2.184,15.46,6275.01,119.15,3.891,27.55,8976.98,153.89,3.365,23.83,4355.23,45.98,0.667,4.72
